iter	Passed	Remaining
224	1992	1549
225	2004	1543
226	2011	1532
227	2021	1524
228	2026	1513
229	2030	1500
230	2038	1491
231	2042	1478
232	2047	1467
233	2055	1458
234	2061	1447
235	2070	1439
236	2075	1427
237	2080	1416
238	2091	1408
239	2096	1397
240	2107	1390
241	2111	1378
242	2120	1370
243	2124	1358
244	2128	1346
245	2137	1338
246	2142	1327
247	2152	1319
248	2158	1308
249	2167	1300
250	2172	1289
251	2177	1278
252	2185	1270
253	2191	1259
254	2201	1251
255	2210	1243
256	2222	1236
257	2233	1229
258	2238	1218
259	2248	1210
260	2256	1201
261	2266	1193
262	2273	1184
263	2281	1175
264	2289	1166
265	2297	1157
266	2303	1147
267	2308	1137
268	2319	1129
269	2330	1121
270	2338	1113
271	2350	1106
272	2362	1099
273	2369	1089
274	2380	1082
275	2385	1071
276	2398	1065
277	2408	1057
278	2417	1048
279	2431	1042
280	2441	1034
281	2448	1024
282	2459	1016
283	2467	1007
284	2477	999
285	2484	990
286	2496	983
287	2501	972
288	2512	964
289	2518	955
290	2527	946
291	2535	937
292	2543	928
293	2549	919
294	2558	910
295	2566	901
296	2579	894
297	2588	885
298	2597	877
299	2607	869
300	2616	860
301	2626	852
302	2636	843
303	2645	835
304	2654	826
305	2664	818
306	2673	809
307	2681	800
308	2687	791
309	2692	781
310	2702	773
311	2709	764
312	2718	755
313	2725	746
314	2734	737
315	2744	729
316	2755	721
317	2766	713
318	2770	703
319	2778	694
320	2788	686
321	2799	678
322	2807	669
323	2817	660
324	2826	652
325	2837	644
326	2850	636
327	2859	627
328	2870	619
329	2883	611
330	2892	602
331	2903	594
332	2912	586
333	2921	577
334	2931	568
335	2941	560
336	2946	550
337	2959	542
338	2968	534
339	2979	525
340	2987	516
341	2997	508
342	3007	499
343	3015	490
344	3028	482
345	3032	473
346	3036	463
347	3043	454
348	3049	445
349	3057	436
350	3067	428
351	3079	419
352	3086	410
353	3093	401
354	3099	392
355	3106	383
356	3110	374
357	3120	366
358	3129	357
359	3138	348
360	3148	340
361	3157	331
362	3167	322
363	3175	314
364	3185	305
365	3195	296
366	3204	288
367	3215	279
368	3224	270
369	3235	262
370	3245	253
371	3254	244
372	3264	236
373	3274	227
374	3285	219
375	3293	210
376	3300	201
377	3311	192
378	3318	183
379	3329	175
380	3339	166
381	3350	157
382	3363	149
383	3374	140
384	3382	131
385	3393	123
386	3400	114
387	3409	105
388	3416	96
389	3423	87
390	3432	78
391	3440	70
392	3445	61
393	3457	52
394	3466	43
395	3476	35
396	3483	26
397	3492	17
398	3498	8
399	3507	0
