iter	Logloss
0	0.632927488
1	0.5844291012
2	0.5448748473
3	0.5147228684
4	0.4914951714
5	0.4718009619
6	0.4551988903
7	0.4425560641
8	0.4327954084
9	0.4237287962
10	0.4141627923
11	0.4061627792
12	0.4003133431
13	0.3951944438
14	0.3885620762
15	0.3847705794
16	0.3792577787
17	0.3761322865
18	0.3725746408
19	0.3686601505
20	0.3656007211
21	0.3615769793
22	0.3582386099
23	0.3556842662
24	0.3529361181
25	0.3504817262
26	0.3479288142
27	0.3458011924
28	0.344167543
29	0.3395704893
30	0.3358057086
31	0.3338252703
32	0.3313379276
33	0.329455978
34	0.3277017789
35	0.3262196444
36	0.3233129214
37	0.3187957754
38	0.3142242297
39	0.3125749242
40	0.3102529445
41	0.3091367534
42	0.307885667
43	0.3067307656
44	0.304348652
45	0.3024926537
46	0.3000915802
47	0.298456231
48	0.2958187451
49	0.2945689224
50	0.2933389025
51	0.2918326101
52	0.290583089
53	0.2894615082
54	0.2881529718
55	0.2867406564
56	0.2860751297
57	0.2840502977
58	0.2829613061
59	0.2809456315
60	0.2783038978
61	0.2755033754
62	0.2748563439
63	0.2731204664
64	0.2723976912
65	0.2711699507
66	0.2686934331
67	0.2678791484
68	0.2672203489
69	0.2650892708
70	0.2633502672
71	0.2615384202
72	0.2607283439
73	0.25952817
74	0.259034152
75	0.2575448266
76	0.2562708435
77	0.2551393333
78	0.2535085797
79	0.2507759032
80	0.2492770887
81	0.2482800378
82	0.2465297649
83	0.2447584511
84	0.2426410993
85	0.2404639699
86	0.239756768
87	0.2385103476
88	0.2373825352
89	0.2359120971
90	0.2343429608
91	0.2337093455
92	0.2314155613
93	0.2298115655
94	0.2287862089
95	0.226493089
96	0.2252438683
97	0.2246223344
98	0.2242286533
99	0.223283106
100	0.222312115
101	0.2219033393
102	0.2210515347
103	0.2193524534
104	0.2192683465
105	0.218104283
106	0.216707505
107	0.2156789176
108	0.2149950143
109	0.2142220155
110	0.2137722887
111	0.2132152195
112	0.2124090309
113	0.211078397
114	0.209880118
115	0.2094126031
116	0.209005002
117	0.2080955106
118	0.207913076
119	0.2064124115
120	0.2054699206
121	0.204907414
122	0.204151292
123	0.203003269
124	0.2020841275
125	0.2010601524
126	0.2000306076
127	0.1987060334
128	0.1979483645
129	0.1969629368
130	0.196139518
131	0.1959377628
132	0.1955035104
133	0.1950709467
134	0.1939354771
135	0.193004042
136	0.1926788903
137	0.1916927429
138	0.1905562455
139	0.1895888045
140	0.1891632093
141	0.1883566583
142	0.1874740001
143	0.1866422121
144	0.1861183339
145	0.1859816923
146	0.185759224
147	0.1854483108
148	0.184239801
149	0.1840347578
150	0.1828221599
151	0.1819318115
152	0.1813041394
153	0.18008801
154	0.1797025977
155	0.1788392231
156	0.1783699339
157	0.1781903006
158	0.1775106092
159	0.177232198
160	0.1767328527
161	0.1762928757
162	0.1758630418
163	0.1751962992
164	0.1745897432
165	0.1742922129
166	0.174151546
167	0.1738779272
168	0.1735545588
169	0.1731526547
170	0.1726396019
171	0.1721053108
172	0.1713025074
173	0.1707232558
174	0.1700688071
175	0.1692356207
176	0.1685111875
177	0.168369905
178	0.1678628135
179	0.1670693557
180	0.1664864989
181	0.1661176475
182	0.1656279581
183	0.1650421131
184	0.1647601375
185	0.1646118111
186	0.164165714
187	0.1637065484
188	0.1632652738
189	0.1623675158
190	0.1619428958
191	0.1617037866
192	0.1611164005
193	0.1608553911
194	0.1606635181
195	0.1603351504
196	0.1598283092
197	0.1594162552
198	0.1593958148
199	0.1588440694
200	0.1582242664
201	0.1579324947
202	0.1573068273
203	0.1569255846
204	0.1565622083
205	0.15613233
206	0.1553449629
207	0.1550233042
208	0.1544999574
209	0.1541412463
210	0.1538007176
211	0.1535505085
212	0.1528283906
213	0.1521519853
214	0.1519485533
215	0.1517231426
216	0.1514604587
217	0.1514110775
218	0.1509448445
219	0.1506922168
220	0.150413749
221	0.1498204768
222	0.1494190801
223	0.1489240198
224	0.1484488446
225	0.1482033295
226	0.1481166371
227	0.1475562942
228	0.1470159738
229	0.1465472293
230	0.1460264306
231	0.1455594203
232	0.1451981406
233	0.1449527385
234	0.1447221104
235	0.1445350354
236	0.1440045204
237	0.1437320817
238	0.1428752223
239	0.1424697218
240	0.1420292338
241	0.1417110481
242	0.1413295866
243	0.1408521966
244	0.1406955748
245	0.1401793161
246	0.1396467143
247	0.1390670659
248	0.1389704571
249	0.1388595882
250	0.138805644
251	0.1383597965
252	0.1379741415
253	0.1378390588
254	0.1372149399
255	0.1371499354
256	0.1371264292
257	0.1366296807
258	0.1359528271
259	0.1356678984
260	0.1353592128
261	0.1346771186
262	0.1342462006
263	0.1340622857
264	0.1337335708
265	0.1336338724
266	0.1332380249
267	0.1328301573
268	0.1322887483
269	0.1318213675
270	0.1314573936
271	0.1314277275
272	0.1312886443
273	0.1311283989
274	0.1309809056
275	0.1306009823
276	0.1304670958
277	0.1302387305
278	0.1300373783
279	0.1296591447
280	0.1294906335
281	0.1293599328
282	0.129271045
283	0.1290625251
284	0.1287791336
285	0.128490357
286	0.1283617835
287	0.1282977593
288	0.1278636579
289	0.1278136036
290	0.1275551782
291	0.1272840517
292	0.1271488669
293	0.1270276851
294	0.1265367953
295	0.1259835612
296	0.1258489246
297	0.1254557289
298	0.1254028565
299	0.1252635796
300	0.1247217648
301	0.1245433236
302	0.1241934397
303	0.1240922965
304	0.1239887797
305	0.1236369749
306	0.1233145446
307	0.1228958505
308	0.1227449212
309	0.1224942305
310	0.1221490463
311	0.1217955794
312	0.1214407401
313	0.1210440674
314	0.1208507024
315	0.1205344436
316	0.1202419569
317	0.1200737235
318	0.1196890909
319	0.1192903972
320	0.119061078
321	0.1189262192
322	0.1186122114
323	0.1184877525
324	0.118117779
325	0.1180257412
326	0.1177607499
327	0.1175384155
328	0.1171889749
329	0.1168493799
330	0.1167448865
331	0.1164784482
332	0.1163499322
333	0.1158993501
334	0.1157815444
335	0.1153614444
336	0.1148583907
337	0.1147945899
338	0.1145946156
339	0.1143962824
340	0.1141136809
341	0.1140524957
342	0.1139572264
343	0.1136041298
344	0.1131361057
345	0.1128993107
346	0.1125937757
347	0.1122140106
348	0.1119830864
349	0.1117167394
350	0.1112731323
351	0.1110042469
352	0.1109073406
353	0.1107935465
354	0.1107813858
355	0.1106092632
356	0.1104392404
357	0.1104232003
358	0.1102747272
359	0.1101098864
360	0.1098356458
361	0.1096070298
362	0.1093458634
363	0.1091347183
364	0.1086352521
365	0.1083766041
366	0.1081698007
367	0.1078441253
368	0.1075882053
369	0.1075675987
370	0.1074895419
371	0.1074327459
372	0.1073041164
373	0.1071155547
374	0.1068470863
375	0.1067632287
376	0.1065711699
377	0.1065228237
378	0.1062415899
379	0.1060515412
380	0.1059713333
381	0.1058385635
382	0.1057531186
383	0.1056836603
384	0.1053964125
385	0.1053217635
386	0.105104103
387	0.1049078334
388	0.1047838158
389	0.1046703615
390	0.1044434156
391	0.1042010839
392	0.104169636
393	0.1041156176
394	0.1038914467
395	0.1038052073
396	0.1036290695
397	0.1035793584
398	0.103429179
399	0.1032383448
